Time,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14
9.3 sec,40741.9300033994,886.466516069442,-157.671624270139,-2.59592596450563,-147.36504184657,130.9800621398,-1.96088645160372,0.862871760445531,0.096371175095144,0.119833971109109,-0.481415351858091,1.79190256108197e-18,-0.0263646962885758,0.122997369601308
9.4 sec,40739.1550571994,871.704753632704,-144.59777618288,-2.79430086644644,-147.869474255561,130.497230301392,-2.00644694200881,0.866010201236527,0.0964512218385903,0.118045139632972,-0.476177317991068,2.05853587748488e-18,-0.0286829874125916,0.125494986035556
9.5 sec,40736.3801109994,856.8927682147,-131.572111243755,-2.99718129675144,-148.369496927361,130.016407450241,-2.05098577189241,0.869184367047325,0.0964868753699944,0.116140039017004,-0.470825137709351,1.70298321658912e-18,-0.0309656756258491,0.127870192153884
9.6 sec,40733.6051647994,842.031002075102,-118.594426070871,-3.20446172812682,-148.865084920013,129.537643256518,-2.09443585023551,0.872388490612071,0.0964784976139101,0.114120399791891,-0.465363036023621,1.43628511296739e-18,-0.0332088706465888,0.130117707548506
9.7 sec,40730.8302185994,827.119899733195,-105.664512316077,-3.4160299669683,-149.356217997174,129.060987346696,-2.13673096848032,0.875616727966433,0.0964265199543554,0.111988177600278,-0.459795519804892,1.52517721354467e-18,-0.0354086776945174,0.132232356939111
9.8 sec,40728.0552723994,812.159907493417,-92.7821566780924,-3.63176724967457,-149.842880703214,128.586489126432,-2.17780596263133,0.878863178992387,0.0963314447038749,0.109745555892906,-0.45412738117675,1.0806688657938e-18,-0.037561204286136,0.134209084064508
9.9 sec,40725.2803261994,797.151472964251,-79.9471409339213,-3.85154835538647,-150.32506242097,128.114197591995,-2.21759687955904,0.882121908604906,0.0961938464542332,0.107394948037737,-0.448363699912904,7.25012030423927e-19,-0.039662567458332,0.136042966018591
10 sec,40722.5053799993,782.095044572253,-67.1592419896695,-4.07524173553783,-150.802757411167,127.644161131053,-2.25604114680481,0.885386968479221,0.0960143732857957,0.10493899878929,-0.44250984475247,1.3686242235755e-20,-0.0417089014049043,0.137729227968112
10.1 sec,40719.7304337993,766.991071073089,-54.4182319517726,-4.30270966052963,-151.275964832601,127.176427313774,-2.29307774510844,0.888652419207122,0.0957937478127251,0.102380585068229,-0.436571473550959,1.91522535455721e-19,-0.0436963655058041,0.139263258182771
10.2 sec,40716.9554875993,751.840001061548,-41.7238782195543,-4.53380838375801,-151.744688742289,126.711042675321,-2.32864738280854,0.891912352761026,0.0955327680414694,0.0997228160047747,-0.430554532191632,-1.64213076740557e-19,-0.0456211527240083,0.140640623301603
10.3 sec,40714.1805413993,736.642282482576,-29.0759435999168,-4.76838832313804,-152.208938074917,126.248052490924,-2.36269267120064,0.895160915135448,0.0952323080206406,0.0969690322037788,-0.424465252189676,2.50388887615113e-18,-0.0474794983401857,0.141857083753798
10.4 sec,40711.4055951993,721.398362145421,-16.4741864448403,-5.00629426017088,-152.668726601038,125.787500544847,-2.39515829988099,0.898392329027264,0.094893318261295,0.0941228041942565,-0.418310146930474,4.28272211733211e-18,-0.0492676889907192,0.142908609246841
10.5 sec,40708.6306489993,706.10868524303,-3.91836081223383,-5.24736555650233,-153.124072863648,125.329428894649,-2.42599121105582,0.901600916408884,0.0945168259078222,0.0911879300318037,-0.41209600649308,4.28274636938743e-18,-0.0509820719703004,0.14379139423057
10.6 sec,40705.8557027993,690.773694878895,8.59178334946776,-5.49143638781659,-153.5750000929,124.873877632246,-2.4551407717582,0.904781120842414,0.0941039346411289,0.0881684320285584,-0.40582989102072,3.3931660417893e-18,-0.0526190647562783,0.144501873242265
10.7 sec,40703.0807565993,675.393831603507,21.056499992718,-5.73833599480194,-154.021536098938,124.420884643344,-2.48255894288804,0.907927529378156,0.0936558242975504,0.0850685525921513,-0.399519122611625,3.74903019400476e-18,-0.054175164708299,0.145036736035492
